[30/Nov/2023 16:48:14] INFO [etienda.views:29] Búsqueda de productos con la palabra: 
[30/Nov/2023 16:48:25] INFO [etienda.views:29] Búsqueda de productos con la palabra: 
[30/Nov/2023 16:48:27] INFO [etienda.views:40] Búsqueda de productos con la categoría: jewelery
[30/Nov/2023 16:51:25] INFO [etienda.views:40] Búsqueda de productos con la categoría: jewelery
[30/Nov/2023 16:51:41] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:52:17] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:52:28] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:53:21] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:53:37] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:54:41] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:54:56] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:54:58] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
[30/Nov/2023 16:55:06] INFO [etienda.views:40] Búsqueda de productos con la categoría: all
